ID,Title,View,Favorite,Like,Dislike,Reply,Share,Coin,Dynamic,View URL
31904731,【碧蓝航线】我是同盟，也是萨尤斯，更是你的同志和爱人噢~,4000,153,154,0,21,2,18,0,https://www.bilibili.com/read/cv31904731
31788136,舰长出去鬼混被老婆们抓住啦！等待着他的到底是.....,7286,151,276,0,18,2,9,0,https://www.bilibili.com/read/cv31788136
31649742,【碧蓝档案/鬼方佳代子/同人文】烟火夜,7149,150,246,0,12,5,2,0,https://www.bilibili.com/read/cv31649742
31571766,【BTS防弹少年团/金泰亨】当你冷落了世首帅...,5411,150,198,0,18,1,8,0,https://www.bilibili.com/read/cv31571766
31401312,OVERLORD同人第20卷《比武大会》（1）始动,10726,150,454,0,368,2,379,0,https://www.bilibili.com/read/cv31401312
31654102,【FGO同人】Fate/BrokenWishes（第三十七次）,5296,148,106,0,2,2,0,0,https://www.bilibili.com/read/cv31654102
31796303,【明日方舟/病娇】脱轨.两位妻子,2609,146,243,0,26,4,110,0,https://www.bilibili.com/read/cv31796303
31770357,【自购/翻译】高达SEED剧场版小说 （5）,9226,146,166,0,44,12,22,0,https://www.bilibili.com/read/cv31770357
31755389,碰巧失眠了，干脆去夜袭宵宫吧。,3871,145,136,0,4,2,6,0,https://www.bilibili.com/read/cv31755389
31313191,【Momotalk自制/音葵】Ep.1 大人的责任,2832,145,90,0,6,2,2,0,https://www.bilibili.com/read/cv31313191
31946481,OVERLORD同人第20卷《比武大会》（2）群像,8149,144,457,0,333,3,396,0,https://www.bilibili.com/read/cv31946481
31543617,【明日方舟/病娇】全员病娇（入口门打破，混乱！射击！）,3213,144,102,0,1,2,0,0,https://www.bilibili.com/read/cv31543617
31340268,【空/芙宁娜】你，你快点告诉我，昨晚究竟怎么回事啊...,3789,144,146,0,9,3,13,0,https://www.bilibili.com/read/cv31340268
31309210,【明日方舟/令/夕/年/黍/糖文】关于年将与博士的那种视频传播后效果竟然出奇的好？？,4863,144,174,0,6,1,3,0,https://www.bilibili.com/read/cv31309210
31269696,【崩坏三同人】关于我穿越到崩坏三这档子事(83)天穹逆飞的流星（暂定标题）（1）,1657,144,76,0,2,0,2,0,https://www.bilibili.com/read/cv31269696
31414334,【all/博】其实我并不爱你（六）,4862,143,224,0,16,1,36,0,https://www.bilibili.com/read/cv31414334
32019397,【崩坏三同人】关于我穿越到崩坏三这档子事(84)天穹逆飞的流星（暂定标题）（2）,1113,142,68,0,3,0,2,0,https://www.bilibili.com/read/cv32019397
31746087,白花和羽毛,3327,141,105,0,13,2,2,0,https://www.bilibili.com/read/cv31746087
31420779,不正经的舰长圣痕攻略 81〈那一线的机会〉,2028,141,86,0,2,1,2,0,https://www.bilibili.com/read/cv31420779
31415437,【碧蓝档案/河和静子/MMT】下雪班车很慢，却在站点遇到静子，不会无聊了,8001,139,250,0,3,3,0,0,https://www.bilibili.com/read/cv31415437
31941214,【赛马娘同人文】不再耀眼的太阳和终将盛开的花（中）,4301,138,111,0,20,3,1,0,https://www.bilibili.com/read/cv31941214
